year: 2007,,,,,,,,,,,,
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Thu,6-Sep,boxscore,Indianapolis Colts,,New Orleans Saints,41,10,452,1,293,3
1,Sun,9-Sep,boxscore,Seattle Seahawks,,Tampa Bay Buccaneers,20,6,343,1,284,2
1,Sun,9-Sep,boxscore,Pittsburgh Steelers,@,Cleveland Browns,34,7,365,1,221,5
1,Sun,9-Sep,boxscore,Green Bay Packers,,Philadelphia Eagles,16,13,215,2,283,3
1,Sun,9-Sep,boxscore,Tennessee Titans,@,Jacksonville Jaguars,13,10,350,2,272,1
1,Sun,9-Sep,boxscore,Dallas Cowboys,,New York Giants,45,35,478,2,438,1
1,Sun,9-Sep,boxscore,New England Patriots,@,New York Jets,38,14,431,0,227,0
1,Sun,9-Sep,boxscore,Minnesota Vikings,,Atlanta Falcons,24,3,302,1,265,2
1,Sun,9-Sep,boxscore,Washington Redskins,,Miami Dolphins,16,13,400,2,273,1
1,Sun,9-Sep,boxscore,Carolina Panthers,@,St. Louis Rams,27,13,385,2,238,2
1,Sun,9-Sep,boxscore,San Diego Chargers,,Chicago Bears,14,3,263,2,202,4
1,Sun,9-Sep,boxscore,Denver Broncos,@,Buffalo Bills,15,14,470,1,184,1
1,Sun,9-Sep,boxscore,Detroit Lions,@,Oakland Raiders,36,21,392,2,375,3
1,Sun,9-Sep,boxscore,Houston Texans,,Kansas City Chiefs,20,3,315,2,219,4
1,Mon,10-Sep,boxscore,San Francisco 49ers,,Arizona Cardinals,20,17,194,1,261,2
1,Mon,10-Sep,boxscore,Cincinnati Bengals,,Baltimore Ravens,27,20,236,2,314,6
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
2,Sun,16-Sep,boxscore,Tampa Bay Buccaneers,,New Orleans Saints,31,14,330,0,343,2
2,Sun,16-Sep,boxscore,Baltimore Ravens,,New York Jets,20,13,303,0,304,2
2,Sun,16-Sep,boxscore,Denver Broncos,,Oakland Raiders,23,20,441,2,253,3
2,Sun,16-Sep,boxscore,New England Patriots,,San Diego Chargers,38,14,407,2,201,3
2,Sun,16-Sep,boxscore,Arizona Cardinals,,Seattle Seahawks,23,20,431,1,362,1
2,Sun,16-Sep,boxscore,San Francisco 49ers,@,St. Louis Rams,17,16,186,2,392,3
2,Sun,16-Sep,boxscore,Detroit Lions,,Minnesota Vikings,20,17,415,5,313,5
2,Sun,16-Sep,boxscore,Chicago Bears,,Kansas City Chiefs,20,10,239,3,281,2
2,Sun,16-Sep,boxscore,Houston Texans,@,Carolina Panthers,34,21,346,1,353,3
2,Sun,16-Sep,boxscore,Green Bay Packers,@,New York Giants,35,13,368,1,325,2
2,Sun,16-Sep,boxscore,Dallas Cowboys,@,Miami Dolphins,37,20,352,0,334,5
2,Sun,16-Sep,boxscore,Indianapolis Colts,@,Tennessee Titans,22,20,381,1,313,2
2,Sun,16-Sep,boxscore,Cleveland Browns,,Cincinnati Bengals,51,45,554,1,531,3
2,Sun,16-Sep,boxscore,Pittsburgh Steelers,,Buffalo Bills,26,3,420,1,223,0
2,Sun,16-Sep,boxscore,Jacksonville Jaguars,,Atlanta Falcons,13,7,364,0,248,0
2,Mon,17-Sep,boxscore,Washington Redskins,@,Philadelphia Eagles,20,12,337,1,340,0
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
3,Sun,23-Sep,boxscore,Pittsburgh Steelers,,San Francisco 49ers,37,16,350,1,289,1
3,Sun,23-Sep,boxscore,Green Bay Packers,,San Diego Chargers,31,24,405,0,364,1
3,Sun,23-Sep,boxscore,Tampa Bay Buccaneers,,St. Louis Rams,24,3,322,1,245,3
3,Sun,23-Sep,boxscore,New York Giants,@,Washington Redskins,24,17,315,3,260,1
3,Sun,23-Sep,boxscore,Kansas City Chiefs,,Minnesota Vikings,13,10,251,1,256,1
3,Sun,23-Sep,boxscore,New York Jets,,Miami Dolphins,31,28,256,0,424,1
3,Sun,23-Sep,boxscore,Jacksonville Jaguars,@,Denver Broncos,23,14,326,2,265,3
3,Sun,23-Sep,boxscore,Philadelphia Eagles,,Detroit Lions,56,21,536,2,432,3
3,Sun,23-Sep,boxscore,Dallas Cowboys,@,Chicago Bears,34,10,431,1,239,4
3,Sun,23-Sep,boxscore,New England Patriots,,Buffalo Bills,38,7,485,1,193,2
3,Sun,23-Sep,boxscore,Carolina Panthers,@,Atlanta Falcons,27,20,313,0,442,2
3,Sun,23-Sep,boxscore,Seattle Seahawks,,Cincinnati Bengals,24,21,340,2,412,4
3,Sun,23-Sep,boxscore,Oakland Raiders,,Cleveland Browns,26,24,396,2,312,2
3,Sun,23-Sep,boxscore,Indianapolis Colts,@,Houston Texans,30,24,362,0,254,2
3,Sun,23-Sep,boxscore,Baltimore Ravens,,Arizona Cardinals,26,23,381,1,364,1
3,Mon,24-Sep,boxscore,Tennessee Titans,@,New Orleans Saints,31,14,284,1,252,5
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
4,Sun,30-Sep,boxscore,Arizona Cardinals,,Pittsburgh Steelers,21,14,301,2,282,2
4,Sun,30-Sep,boxscore,Oakland Raiders,@,Miami Dolphins,35,17,369,1,278,2
4,Sun,30-Sep,boxscore,Dallas Cowboys,,St. Louis Rams,35,7,502,1,187,1
4,Sun,30-Sep,boxscore,Cleveland Browns,,Baltimore Ravens,27,13,303,1,418,2
4,Sun,30-Sep,boxscore,Seattle Seahawks,@,San Francisco 49ers,23,3,371,1,184,3
4,Sun,30-Sep,boxscore,Tampa Bay Buccaneers,@,Carolina Panthers,20,7,365,1,236,2
4,Sun,30-Sep,boxscore,New York Giants,,Philadelphia Eagles,16,3,212,1,190,1
4,Sun,30-Sep,boxscore,Buffalo Bills,,New York Jets,17,14,304,2,347,2
4,Sun,30-Sep,boxscore,Indianapolis Colts,,Denver Broncos,38,20,419,0,354,2
4,Sun,30-Sep,boxscore,Kansas City Chiefs,@,San Diego Chargers,30,16,390,2,333,4
4,Sun,30-Sep,boxscore,Detroit Lions,,Chicago Bears,37,27,310,2,303,3
4,Sun,30-Sep,boxscore,Atlanta Falcons,,Houston Texans,26,16,304,0,398,2
4,Sun,30-Sep,boxscore,Green Bay Packers,@,Minnesota Vikings,23,16,384,2,382,2
4,Mon,1-Oct,boxscore,New England Patriots,@,Cincinnati Bengals,34,13,404,1,283,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
5,Sun,7-Oct,boxscore,Jacksonville Jaguars,@,Kansas City Chiefs,17,7,357,0,271,1
5,Sun,7-Oct,boxscore,Houston Texans,,Miami Dolphins,22,19,352,2,285,1
5,Sun,7-Oct,boxscore,New York Giants,,New York Jets,35,24,374,2,277,3
5,Sun,7-Oct,boxscore,Baltimore Ravens,@,San Francisco 49ers,9,7,315,0,163,1
5,Sun,7-Oct,boxscore,San Diego Chargers,@,Denver Broncos,41,3,484,0,296,3
5,Sun,7-Oct,boxscore,Pittsburgh Steelers,,Seattle Seahawks,21,0,342,0,144,1
5,Sun,7-Oct,boxscore,Indianapolis Colts,,Tampa Bay Buccaneers,33,14,400,1,177,1
5,Sun,7-Oct,boxscore,Washington Redskins,,Detroit Lions,34,3,366,1,144,2
5,Sun,7-Oct,boxscore,Carolina Panthers,@,New Orleans Saints,16,13,243,1,341,2
5,Sun,7-Oct,boxscore,Tennessee Titans,,Atlanta Falcons,20,13,249,5,198,2
5,Sun,7-Oct,boxscore,Chicago Bears,@,Green Bay Packers,27,20,285,1,439,5
5,Sun,7-Oct,boxscore,New England Patriots,,Cleveland Browns,34,17,412,0,353,4
5,Sun,7-Oct,boxscore,Arizona Cardinals,@,St. Louis Rams,34,31,383,2,375,3
5,Mon,8-Oct,boxscore,Dallas Cowboys,@,Buffalo Bills,25,24,385,6,229,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
6,Sun,14-Oct,boxscore,Tampa Bay Buccaneers,,Tennessee Titans,13,10,304,1,317,3
6,Sun,14-Oct,boxscore,New Orleans Saints,@,Seattle Seahawks,28,17,367,1,425,2
6,Sun,14-Oct,boxscore,Kansas City Chiefs,,Cincinnati Bengals,27,20,354,2,373,3
6,Sun,14-Oct,boxscore,San Diego Chargers,,Oakland Raiders,28,14,362,1,245,3
6,Sun,14-Oct,boxscore,Green Bay Packers,,Washington Redskins,17,14,225,2,304,3
6,Sun,14-Oct,boxscore,Baltimore Ravens,,St. Louis Rams,22,3,248,2,264,6
6,Sun,14-Oct,boxscore,Philadelphia Eagles,@,New York Jets,16,9,413,1,267,1
6,Sun,14-Oct,boxscore,New England Patriots,@,Dallas Cowboys,48,27,448,1,285,1
6,Sun,14-Oct,boxscore,Minnesota Vikings,@,Chicago Bears,34,31,444,0,458,4
6,Sun,14-Oct,boxscore,Cleveland Browns,,Miami Dolphins,41,31,384,1,356,2
6,Sun,14-Oct,boxscore,Carolina Panthers,@,Arizona Cardinals,25,10,374,0,255,5
6,Sun,14-Oct,boxscore,Jacksonville Jaguars,,Houston Texans,37,17,457,3,390,3
6,Mon,15-Oct,boxscore,New York Giants,@,Atlanta Falcons,31,10,491,3,284,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
7,Sun,21-Oct,boxscore,Detroit Lions,,Tampa Bay Buccaneers,23,16,278,0,422,2
7,Sun,21-Oct,boxscore,Buffalo Bills,,Baltimore Ravens,19,14,242,1,308,1
7,Sun,21-Oct,boxscore,Denver Broncos,,Pittsburgh Steelers,31,28,324,2,379,3
7,Sun,21-Oct,boxscore,Cincinnati Bengals,,New York Jets,38,31,395,1,342,2
7,Sun,21-Oct,boxscore,New York Giants,,San Francisco 49ers,33,15,279,1,267,4
7,Sun,21-Oct,boxscore,Seattle Seahawks,,St. Louis Rams,33,6,289,1,221,5
7,Sun,21-Oct,boxscore,Tennessee Titans,@,Houston Texans,38,36,422,2,333,6
7,Sun,21-Oct,boxscore,New England Patriots,@,Miami Dolphins,49,28,443,1,382,2
7,Sun,21-Oct,boxscore,Dallas Cowboys,,Minnesota Vikings,24,14,381,2,196,1
7,Sun,21-Oct,boxscore,Kansas City Chiefs,@,Oakland Raiders,12,10,290,1,268,2
7,Sun,21-Oct,boxscore,Washington Redskins,,Arizona Cardinals,21,19,160,1,364,3
7,Sun,21-Oct,boxscore,New Orleans Saints,,Atlanta Falcons,22,16,310,1,334,0
7,Sun,21-Oct,boxscore,Chicago Bears,@,Philadelphia Eagles,19,16,386,0,334,0
7,Mon,22-Oct,boxscore,Indianapolis Colts,@,Jacksonville Jaguars,29,7,384,1,226,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
8,Sun,28-Oct,boxscore,Pittsburgh Steelers,@,Cincinnati Bengals,24,13,390,1,296,1
8,Sun,28-Oct,boxscore,Tennessee Titans,,Oakland Raiders,13,9,218,0,235,2
8,Sun,28-Oct,boxscore,Philadelphia Eagles,@,Minnesota Vikings,23,16,385,0,256,0
8,Sun,28-Oct,boxscore,Buffalo Bills,@,New York Jets,13,3,347,1,254,3
8,Sun,28-Oct,boxscore,New Orleans Saints,@,San Francisco 49ers,31,10,438,1,260,1
8,Sun,28-Oct,boxscore,Cleveland Browns,@,St. Louis Rams,27,20,368,0,393,1
8,Sun,28-Oct,boxscore,Indianapolis Colts,@,Carolina Panthers,31,7,395,1,293,3
8,Sun,28-Oct,boxscore,Jacksonville Jaguars,@,Tampa Bay Buccaneers,24,23,219,0,385,3
8,Sun,28-Oct,boxscore,San Diego Chargers,,Houston Texans,35,10,237,0,367,5
8,Sun,28-Oct,boxscore,New York Giants,@,Miami Dolphins,13,10,238,1,245,2
8,Sun,28-Oct,boxscore,New England Patriots,,Washington Redskins,52,7,486,1,224,4
8,Sun,28-Oct,boxscore,Detroit Lions,@,Chicago Bears,16,7,365,1,255,4
8,Mon,29-Oct,boxscore,Green Bay Packers,@,Denver Broncos,19,13,430,0,332,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
9,Sun,4-Nov,boxscore,Detroit Lions,,Denver Broncos,44,7,376,1,303,4
9,Sun,4-Nov,boxscore,Tennessee Titans,,Carolina Panthers,20,7,236,4,191,2
