Winner,Indianapolis Colts,200709060clt
Loser,New Orleans Saints,200709060clt
PtsW,41,200709060clt
PtsL,10,200709060clt
YdsW,452,200709060clt
TOW,1,200709060clt
YdsL,293,200709060clt
TOL,3,200709060clt
Winner,Seattle Seahawks,200709090sea
Loser,Tampa Bay Buccaneers,200709090sea
PtsW,20,200709090sea
PtsL,6,200709090sea
YdsW,343,200709090sea
TOW,1,200709090sea
YdsL,284,200709090sea
TOL,2,200709090sea
Winner,Pittsburgh Steelers,200709090cle
Loser,Cleveland Browns,200709090cle
PtsW,34,200709090cle
PtsL,7,200709090cle
YdsW,365,200709090cle
TOW,1,200709090cle
YdsL,221,200709090cle
TOL,5,200709090cle
Winner,Green Bay Packers,200709090gnb
Loser,Philadelphia Eagles,200709090gnb
PtsW,16,200709090gnb
PtsL,13,200709090gnb
YdsW,215,200709090gnb
TOW,2,200709090gnb
YdsL,283,200709090gnb
TOL,3,200709090gnb
Winner,Tennessee Titans,200709090jax
Loser,Jacksonville Jaguars,200709090jax
PtsW,13,200709090jax
PtsL,10,200709090jax
YdsW,350,200709090jax
TOW,2,200709090jax
YdsL,272,200709090jax
TOL,1,200709090jax
Winner,Dallas Cowboys,200709090dal
Loser,New York Giants,200709090dal
PtsW,45,200709090dal
PtsL,35,200709090dal
YdsW,478,200709090dal
TOW,2,200709090dal
YdsL,438,200709090dal
TOL,1,200709090dal
Winner,New England Patriots,200709090nyj
Loser,New York Jets,200709090nyj
PtsW,38,200709090nyj
PtsL,14,200709090nyj
YdsW,431,200709090nyj
TOW,0,200709090nyj
YdsL,227,200709090nyj
TOL,0,200709090nyj
Winner,Minnesota Vikings,200709090min
Loser,Atlanta Falcons,200709090min
PtsW,24,200709090min
PtsL,3,200709090min
YdsW,302,200709090min
TOW,1,200709090min
YdsL,265,200709090min
TOL,2,200709090min
Winner,Washington Redskins,200709090was
Loser,Miami Dolphins,200709090was
PtsW,16,200709090was
PtsL,13,200709090was
YdsW,400,200709090was
TOW,2,200709090was
YdsL,273,200709090was
TOL,1,200709090was
Winner,Carolina Panthers,200709090ram
Loser,St. Louis Rams,200709090ram
PtsW,27,200709090ram
PtsL,13,200709090ram
YdsW,385,200709090ram
TOW,2,200709090ram
YdsL,238,200709090ram
TOL,2,200709090ram
Winner,San Diego Chargers,200709090sdg
Loser,Chicago Bears,200709090sdg
PtsW,14,200709090sdg
PtsL,3,200709090sdg
YdsW,263,200709090sdg
TOW,2,200709090sdg
YdsL,202,200709090sdg
TOL,4,200709090sdg
Winner,Denver Broncos,200709090buf
Loser,Buffalo Bills,200709090buf
PtsW,15,200709090buf
PtsL,14,200709090buf
YdsW,470,200709090buf
TOW,1,200709090buf
YdsL,184,200709090buf
TOL,1,200709090buf
Winner,Detroit Lions,200709090rai
Loser,Oakland Raiders,200709090rai
PtsW,36,200709090rai
PtsL,21,200709090rai
YdsW,392,200709090rai
TOW,2,200709090rai
YdsL,375,200709090rai
TOL,3,200709090rai
Winner,Houston Texans,200709090htx
Loser,Kansas City Chiefs,200709090htx
PtsW,20,200709090htx
PtsL,3,200709090htx
YdsW,315,200709090htx
TOW,2,200709090htx
YdsL,219,200709090htx
TOL,4,200709090htx
Winner,San Francisco 49ers,200709100sfo
Loser,Arizona Cardinals,200709100sfo
PtsW,20,200709100sfo
PtsL,17,200709100sfo
YdsW,194,200709100sfo
TOW,1,200709100sfo
YdsL,261,200709100sfo
TOL,2,200709100sfo
Winner,Cincinnati Bengals,200709100cin
Loser,Baltimore Ravens,200709100cin
PtsW,27,200709100cin
PtsL,20,200709100cin
YdsW,236,200709100cin
TOW,2,200709100cin
YdsL,314,200709100cin
TOL,6,200709100cin
Winner,Tampa Bay Buccaneers,200709160tam
Loser,New Orleans Saints,200709160tam
PtsW,31,200709160tam
PtsL,14,200709160tam
YdsW,330,200709160tam
TOW,0,200709160tam
YdsL,343,200709160tam
TOL,2,200709160tam
Winner,Baltimore Ravens,200709160rav
Loser,New York Jets,200709160rav
PtsW,20,200709160rav
PtsL,13,200709160rav
YdsW,303,200709160rav
TOW,0,200709160rav
YdsL,304,200709160rav
TOL,2,200709160rav
Winner,Denver Broncos,200709160den
Loser,Oakland Raiders,200709160den
PtsW,23,200709160den
PtsL,20,200709160den
YdsW,441,200709160den
TOW,2,200709160den
YdsL,253,200709160den
TOL,3,200709160den
Winner,New England Patriots,200709160nwe
Loser,San Diego Chargers,200709160nwe
PtsW,38,200709160nwe
PtsL,14,200709160nwe
YdsW,407,200709160nwe
TOW,2,200709160nwe
YdsL,201,200709160nwe
TOL,3,200709160nwe
Winner,Arizona Cardinals,200709160crd
Loser,Seattle Seahawks,200709160crd
PtsW,23,200709160crd
PtsL,20,200709160crd
YdsW,431,200709160crd
TOW,1,200709160crd
YdsL,362,200709160crd
TOL,1,200709160crd
Winner,San Francisco 49ers,200709160ram
Loser,St. Louis Rams,200709160ram
PtsW,17,200709160ram
PtsL,16,200709160ram
YdsW,186,200709160ram
TOW,2,200709160ram
YdsL,392,200709160ram
TOL,3,200709160ram
Winner,Detroit Lions,200709160det
Loser,Minnesota Vikings,200709160det
PtsW,20,200709160det
PtsL,17,200709160det
YdsW,415,200709160det
TOW,5,200709160det
YdsL,313,200709160det
TOL,5,200709160det
Winner,Chicago Bears,200709160chi
Loser,Kansas City Chiefs,200709160chi
PtsW,20,200709160chi
PtsL,10,200709160chi
YdsW,239,200709160chi
TOW,3,200709160chi
YdsL,281,200709160chi
TOL,2,200709160chi
Winner,Houston Texans,200709160car
Loser,Carolina Panthers,200709160car
PtsW,34,200709160car
PtsL,21,200709160car
YdsW,346,200709160car
TOW,1,200709160car
YdsL,353,200709160car
TOL,3,200709160car
Winner,Green Bay Packers,200709160nyg
Loser,New York Giants,200709160nyg
PtsW,35,200709160nyg
PtsL,13,200709160nyg
YdsW,368,200709160nyg
TOW,1,200709160nyg
YdsL,325,200709160nyg
TOL,2,200709160nyg
Winner,Dallas Cowboys,200709160mia
Loser,Miami Dolphins,200709160mia
PtsW,37,200709160mia
PtsL,20,200709160mia
YdsW,352,200709160mia
TOW,0,200709160mia
YdsL,334,200709160mia
TOL,5,200709160mia
Winner,Indianapolis Colts,200709160oti
Loser,Tennessee Titans,200709160oti
PtsW,22,200709160oti
PtsL,20,200709160oti
YdsW,381,200709160oti
TOW,1,200709160oti
YdsL,313,200709160oti
TOL,2,200709160oti
Winner,Cleveland Browns,200709160cle
Loser,Cincinnati Bengals,200709160cle
PtsW,51,200709160cle
PtsL,45,200709160cle
YdsW,554,200709160cle
TOW,1,200709160cle
YdsL,531,200709160cle
TOL,3,200709160cle
Winner,Pittsburgh Steelers,200709160pit
Loser,Buffalo Bills,200709160pit
PtsW,26,200709160pit
PtsL,3,200709160pit
YdsW,420,200709160pit
TOW,1,200709160pit
YdsL,223,200709160pit
TOL,0,200709160pit
Winner,Jacksonville Jaguars,200709160jax
Loser,Atlanta Falcons,200709160jax
PtsW,13,200709160jax
PtsL,7,200709160jax
YdsW,364,200709160jax
TOW,0,200709160jax
YdsL,248,200709160jax
TOL,0,200709160jax
Winner,Washington Redskins,200709170phi
Loser,Philadelphia Eagles,200709170phi
PtsW,20,200709170phi
PtsL,12,200709170phi
YdsW,337,200709170phi
TOW,1,200709170phi
YdsL,340,200709170phi
TOL,0,200709170phi
Winner,Pittsburgh Steelers,200709230pit
Loser,San Francisco 49ers,200709230pit
PtsW,37,200709230pit
PtsL,16,200709230pit
YdsW,350,200709230pit
TOW,1,200709230pit
YdsL,289,200709230pit
TOL,1,200709230pit
Winner,Green Bay Packers,200709230gnb
Loser,San Diego Chargers,200709230gnb
PtsW,31,200709230gnb
PtsL,24,200709230gnb
YdsW,405,200709230gnb
TOW,0,200709230gnb
YdsL,364,200709230gnb
TOL,1,200709230gnb
Winner,Tampa Bay Buccaneers,200709230tam
Loser,St. Louis Rams,200709230tam
PtsW,24,200709230tam
PtsL,3,200709230tam
YdsW,322,200709230tam
TOW,1,200709230tam
YdsL,245,200709230tam
TOL,3,200709230tam
Winner,New York Giants,200709230was
Loser,Washington Redskins,200709230was
PtsW,24,200709230was
PtsL,17,200709230was
YdsW,315,200709230was
TOW,3,200709230was
YdsL,260,200709230was
TOL,1,200709230was
Winner,Kansas City Chiefs,200709230kan
Loser,Minnesota Vikings,200709230kan
PtsW,13,200709230kan
PtsL,10,200709230kan
YdsW,251,200709230kan
TOW,1,200709230kan
YdsL,256,200709230kan
TOL,1,200709230kan
Winner,New York Jets,200709230nyj
Loser,Miami Dolphins,200709230nyj
PtsW,31,200709230nyj
PtsL,28,200709230nyj
YdsW,256,200709230nyj
TOW,0,200709230nyj
YdsL,424,200709230nyj
TOL,1,200709230nyj
Winner,Jacksonville Jaguars,200709230den
Loser,Denver Broncos,200709230den
PtsW,23,200709230den
PtsL,14,200709230den
YdsW,326,200709230den
TOW,2,200709230den
YdsL,265,200709230den
TOL,3,200709230den
Winner,Philadelphia Eagles,200709230phi
Loser,Detroit Lions,200709230phi
PtsW,56,200709230phi
PtsL,21,200709230phi
YdsW,536,200709230phi
TOW,2,200709230phi
YdsL,432,200709230phi
TOL,3,200709230phi
Winner,Dallas Cowboys,200709230chi
Loser,Chicago Bears,200709230chi
PtsW,34,200709230chi
PtsL,10,200709230chi
YdsW,431,200709230chi
TOW,1,200709230chi
YdsL,239,200709230chi
TOL,4,200709230chi
Winner,New England Patriots,200709230nwe
Loser,Buffalo Bills,200709230nwe
PtsW,38,200709230nwe
PtsL,7,200709230nwe
YdsW,485,200709230nwe
TOW,1,200709230nwe
YdsL,193,200709230nwe
TOL,2,200709230nwe
Winner,Carolina Panthers,200709230atl
Loser,Atlanta Falcons,200709230atl
PtsW,27,200709230atl
PtsL,20,200709230atl
YdsW,313,200709230atl
TOW,0,200709230atl
YdsL,442,200709230atl
TOL,2,200709230atl
Winner,Seattle Seahawks,200709230sea
Loser,Cincinnati Bengals,200709230sea
PtsW,24,200709230sea
PtsL,21,200709230sea
YdsW,340,200709230sea
TOW,2,200709230sea
YdsL,412,200709230sea
TOL,4,200709230sea
Winner,Oakland Raiders,200709230rai
Loser,Cleveland Browns,200709230rai
PtsW,26,200709230rai
PtsL,24,200709230rai
YdsW,396,200709230rai
TOW,2,200709230rai
YdsL,312,200709230rai
TOL,2,200709230rai
Winner,Indianapolis Colts,200709230htx
Loser,Houston Texans,200709230htx
PtsW,30,200709230htx
PtsL,24,200709230htx
YdsW,362,200709230htx
TOW,0,200709230htx
YdsL,254,200709230htx
TOL,2,200709230htx
Winner,Baltimore Ravens,200709230rav
Loser,Arizona Cardinals,200709230rav
PtsW,26,200709230rav
PtsL,23,200709230rav
YdsW,381,200709230rav
TOW,1,200709230rav
YdsL,364,200709230rav
TOL,1,200709230rav
Winner,Tennessee Titans,200709240nor
Loser,New Orleans Saints,200709240nor
PtsW,31,200709240nor
PtsL,14,200709240nor
YdsW,284,200709240nor
TOW,1,200709240nor
YdsL,252,200709240nor
TOL,5,200709240nor
Winner,Arizona Cardinals,200709300crd
Loser,Pittsburgh Steelers,200709300crd
PtsW,21,200709300crd
PtsL,14,200709300crd
YdsW,301,200709300crd
TOW,2,200709300crd
YdsL,282,200709300crd
TOL,2,200709300crd
Winner,Oakland Raiders,200709300mia
Loser,Miami Dolphins,200709300mia
PtsW,35,200709300mia
PtsL,17,200709300mia
YdsW,369,200709300mia
TOW,1,200709300mia
YdsL,278,200709300mia
TOL,2,200709300mia
Winner,Dallas Cowboys,200709300dal
Loser,St. Louis Rams,200709300dal
PtsW,35,200709300dal
PtsL,7,200709300dal
YdsW,502,200709300dal
TOW,1,200709300dal
YdsL,187,200709300dal
TOL,1,200709300dal
Winner,Cleveland Browns,200709300cle
Loser,Baltimore Ravens,200709300cle
PtsW,27,200709300cle
PtsL,13,200709300cle
YdsW,303,200709300cle
TOW,1,200709300cle
YdsL,418,200709300cle
TOL,2,200709300cle
